商品	订单号	订单状态	商品总价(元)	邮费(元)	店铺优惠折扣(元)	平台优惠折扣(元)	多多支付立减金额(元)	用户实付金额(元)	商家实收金额(元)	商品数量(件)	发货时间	确认收货时间	商品id	商品规格	样式ID	商家备注	售后状态	快递单号	快递公司	订单成交时间
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-098534746423438	已发货，待收货	"18.0	"	"0.0	"	"1.8	"	"3.0	"	"0.0	"	"13.2	"	"16.2	"	"4	"	2024/5/30 10:19	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"777218522319369	"	申通快递	2024/5/29 21:00
莱特5本加厚A4学生笔记本B5办公商务记事本大学生课堂笔记草稿本	240529-560243699500172	已发货，待收货	"22.0	"	"0.0	"	"2.2	"	"3.0	"	"0.0	"	"16.8	"	"19.8	"	"2	"	2024/5/30 10:19	"	"	"614857205457	"	B5混色5本装（每本48张）	"1598292611662	"	"	"	无售后或售后取消	"777218522323411	"	申通快递	2024/5/29 20:52
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-512449647022576	已取消	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K作文本300格(5本)	"1599890404771	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本学生汉语拼音本	240529-554214439293694	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.28	"	"0.0	"	"3.77	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"612517929146	"	英语本(5本)	"1596013749697	"	"	"	无售后或售后取消	"777218522319722	"	申通快递	2024/5/29 20:14
莱特5本36页牛皮学生作业本16K学校统一语文练习本学生汉语拼音本	240529-124717709693694	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.28	"	"0.01	"	"3.77	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"612517929146	"	方格语文本(5本)	"1596013749694	"	"	"	无售后或售后取消	"777218522319722	"	申通快递	2024/5/29 20:14
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-271371548843564	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"3.0	"	"0.0	"	"1.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"777218522319977	"	申通快递	2024/5/29 20:06
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-418465790332054	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"777218522319205	"	申通快递	2024/5/29 19:48
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-106346647821118	待付款	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-671508109052054	已取消	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K单线数学本(5本)	"1599890404780	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本学生汉语拼音本	240529-584534004022902	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.0	"	"0.0	"	"4.05	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"612517929146	"	方格语文本(5本)	"1596013749694	"	"	"	无售后或售后取消	"777218522323423	"	申通快递	2024/5/29 19:40
莱特10本加厚16K大号学校统一学生作业本小学汉语拼音本纠错本	240529-155037274422902	已发货，待收货	"4.4	"	"0.0	"	"0.44	"	"0.0	"	"0.0	"	"3.96	"	"3.96	"	"1	"	2024/5/30 10:19	"	"	"607820221890	"	32K英语本(5本)	"1593039293503	"	"	"	无售后或售后取消	"777218522323423	"	申通快递	2024/5/29 19:40
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-644832335452440	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K横线语文本(5本)	"1599890404772	"	"	"	无售后或售后取消	"777218522318868	"	申通快递	2024/5/29 19:31
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-124549927100885	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"3.0	"	"0.0	"	"1.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"777218522320121	"	申通快递	2024/5/29 19:11
莱特5本加厚200页B5学生笔记本办公记事本白领工作记录本子笔记本	240529-473788629340268	已发货，待收货	"11.7	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"11.7	"	"11.7	"	"1	"	2024/5/30 10:19	"	"	"608059073339	"	A5五本（每本100张）	"1593732323453	"	"	"	无售后或售后取消	"777218522319126	"	申通快递	2024/5/29 18:58
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-310357532430307	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K双线数学本(5本)	"1599890404779	"	"	"	无售后或售后取消	"777218522319450	"	申通快递	2024/5/29 18:05
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240529-515296468723414	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.58	"	"0.0	"	"3.92	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"777218522323575	"	申通快递	2024/5/29 17:51
